Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
(G)I-DLE,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,E,Minor,15,5,2023,2020,Queencard,3,1,130,82,83,126,10,0,7,148,33,451,0,27,5,96273746,69
NewJeans,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,A,Minor,2,1,2023,2020,OMG,36,1,127,80,77,124,26,1,15,22,27,1783,0,11,4,430977451,74
Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,D,Major,1,1,2011,2010,Radio,21,1,150,42,86,122,24,3,282,368,46,9389,0,9,9,284819874,20
"Shakira, Bizarrap",Not Found,D,Minor,11,1,2023,2020,"Shakira: Bzrp Music Sessions, Vol. 53",27,2,122,78,63,108,119,29,254,22,44,5724,0,9,5,721975598,50
Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,,Major,20,4,2007,2005,505,0,1,140,52,85,80,30,1,588,1,25,13985,0,7,5,1217120710,20
"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,,Major,2,6,2023,2020,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",46,4,140,63,54,37,31,0,31,189,16,1051,0,12,8,109276132,22
"Travis Scott, Young Thug, Metro Boomin",https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,C#,Minor,2,12,2022,2020,Trance (with Travis Scott & Young Thug),18,3,119,75,53,90,24,1,30,176,46,1682,0,18,34,276259178,48
"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",Not Found,G,Minor,22,5,2023,2020,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",32,5,110,76,72,88,3,0,1,52,8,182,0,9,4,54225632,96
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,G#,Major,1,1,2017,2015,Perfect,16,1,95,60,45,0,7,0,2094,0,13,16596,0,11,2,2559529074,17
d4vd,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,F#,Major,20,7,2022,2020,Romantic Homicide,45,1,132,56,55,55,82,0,50,9,23,2335,1,32,3,681583126,20
Imagine Dragons,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,A#,Minor,31,1,2017,2015,Believer,4,1,125,77,78,121,250,10,2969,31,23,18986,0,23,11,2594040133,74
"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",Not Found,D#,Minor,19,5,2023,2020,Novo BalanÃ¯Â¿Â½,67,4,124,84,50,9,6,1,26,66,7,283,0,13,6,81102253,65
"Mc Pedrinho, DJ 900",https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776,B,Minor,1,6,2023,2020,"Gol Bolinha, Gol Quadrado 2",42,2,133,93,65,2,5,2,30,66,8,293,0,12,25,11956641,68
Eminem,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,G,Major,1,1,2002,2000,Without Me,0,1,112,92,66,76,98,5,3889,0,43,21081,0,36,9,1687664027,67
"Sog, Ryan Castro, Peso Pluma",Not Found,,Major,13,7,2023,2020,QUEMA,5,3,97,79,89,29,17,3,26,208,31,437,0,6,5,11599388,92
"The Weeknd, Lana Del Rey",https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,F,Minor,24,11,2016,2015,Stargirl Interlude,38,2,90,59,48,8,13,0,5,1,32,1275,5,10,11,611700552,52
"Bomba EstÃ¯Â¿Â½Ã¯Â¿Â½reo, Bad B",Not Found,D#,Minor,6,5,2022,2020,Ojitos Lindos,8,2,80,65,69,113,71,13,99,28,38,6135,0,53,4,1133865788,27
Keane,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490,A,Major,1,1,2004,2000,Somewhere Only We Know,6,1,172,45,59,69,107,0,5239,558,16,20015,0,8,3,1089402494,33
New West,https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41,E,Major,10,5,2019,2015,Those Eyes,73,1,120,60,35,71,24,1,44,195,14,1507,0,31,3,411747614,24
Chino Pacas,https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36,G,Minor,27,1,2023,2020,El Gordo Trae El Mando,18,1,140,74,80,71,7,2,4,13,21,539,0,5,5,255932395,96
Natanael Cano,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970,A,Minor,30,6,2023,2020,Mi Bello Angel,1,1,128,81,77,76,7,1,3,93,8,86,0,9,5,31873544,90
Peso Pluma,https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d,,Major,26,5,2023,2020,Bye,57,1,122,78,81,110,13,2,8,60,14,324,0,10,5,95053634,70
"Don Omar, Lucenzo",https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94,,Major,1,1,2010,2010,Danza Kuduro,8,2,130,47,92,81,119,1,974,503,37,17138,0,5,24,1279434863,86
"Ana Castela, AgroPlay",Not Found,A,Major,2,2,2023,2020,Nosso Quadro,33,2,160,69,71,88,14,3,66,72,9,894,0,31,20,233801632,61
Bruno Mars,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,F,Major,5,12,2012,2010,Locked Out Of Heaven,6,1,144,73,70,0,0,0,356,0,9,1622,0,28,5,1481349984,87
"Big One, FMK, Ke personajes",Not Found,B,Major,4,4,2023,2020,Un Finde | CROSSOVER #2,11,3,192,50,52,14,4,5,12,56,14,561,0,28,6,142095275,85
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,,Major,17,6,2022,2020,Jimmy Cooks (feat. 21 Savage),0,2,163,54,67,121,81,1,58,34,27,5871,0,9,17,618885532,40
OneRepublic,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,C#,Minor,1,1,2013,2010,Counting Stars,6,1,122,66,71,97,179,11,3394,153,43,29215,0,12,4,2011464183,48
Justin Bieber,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,D,Major,19,3,2021,2020,Ghost,21,1,154,61,74,38,107,0,95,,24,5866,0,40,6,1167330737,41
Chris Brown,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,A,Minor,4,10,2019,2015,Under The Influence,6,1,117,73,69,181,133,0,3,,26,3859,0,11,4,929964809,31
"Natanael Cano, Peso Pluma",Not Found,G,Minor,23,1,2023,2020,PRC,10,2,138,78,83,143,19,6,10,15,26,961,0,12,5,436027885,89
Daddy Yankee,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c,,Major,13,7,2004,2000,Gasolina,33,1,96,86,80,95,98,0,453,454,18,6457,0,8,6,657723613,74
"Drake, WizKid, Kyla",https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,C#,Major,4,4,2016,2015,One Dance,1,3,104,77,63,107,433,0,3631,26,24,43257,0,36,5,2713922350,36
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,G#,Major,1,1,2010,2010,Enchanted,8,1,164,45,62,101,24,0,113,40,16,4564,0,16,3,621660989,24
The Weeknd,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,,Major,20,3,2020,2020,Save Your Tears,2,1,118,68,82,115,197,0,112,200,13,12688,0,50,3,1591223784,61
Miguel,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,B,Minor,25,5,2010,2010,Sure Thing,3,1,81,68,60,125,137,6,435,285,19,13801,0,19,10,950906471,51
The Police,https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014,C#,Major,6,1,1983,1980,Every Breath You Take - Remastered 2003,54,1,117,82,45,74,211,0,929,129,19,22439,0,7,3,1593270737,73
Lord Huron,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,D,Major,2,2,2015,2015,The Night We Met,97,1,174,45,37,82,70,1,939,162,35,18515,25,64,4,1410088830,10
"Rihanna, Calvin Harris",https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,C#,Major,1,1,2011,2010,We Found Love,3,2,128,73,77,91,321,1,4607,58,21,36843,0,11,4,1235005533,60
Bruno Mars,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,,Major,5,12,2012,2010,When I Was Your Man,94,1,145,60,27,0,0,0,806,0,11,2420,0,14,4,1661187319,43
Alec Benjamin,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,C#,Minor,25,5,2018,2015,Let Me Down Slowly,73,1,150,65,55,0,0,0,885,0,19,5897,0,14,3,1374581173,51
"A$AP Rocky, Metro Boomin, Roisee",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,A,Minor,2,6,2023,2020,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",4,3,90,60,53,60,17,1,28,44,16,727,0,21,4,94186466,13
Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,F,Major,1,1,2013,2010,Do I Wanna Know?,17,1,85,55,53,92,133,1,2733,26,26,33783,0,22,3,1788326445,42
Imagine Dragons,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a,D#,Major,1,1,2012,2010,Demons,20,1,180,33,71,82,65,4,3425,13,13,26694,0,28,5,1840364617,38
YOASOBI,Not Found,C#,Major,12,4,2023,2020,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,11,1,166,57,94,102,35,1,8,117,16,356,0,37,9,143573775,84
The Weeknd,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,G#,Major,25,11,2016,2015,Reminder,16,1,160,71,50,85,45,1,238,47,17,6518,0,16,22,684675814,40
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,G,Major,1,1,2014,2010,Shake It Off,5,1,160,65,80,70,328,9,1378,20,13,21335,0,41,16,1113838873,95
Arctic Monkeys,Not Found,D,Major,1,1,2013,2010,Why'd You Only Call Me When You're High?,4,1,92,70,63,70,54,2,1089,1,29,23389,0,8,4,1267333350,81
Rosa Linn,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,,Major,19,3,2022,2020,SNAP,11,1,170,56,64,80,148,24,226,0,18,3202,0,45,6,726307468,53
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,C#,Minor,6,1,2017,2015,Shape of You,58,1,96,83,65,0,33,7,6808,0,10,32181,0,9,8,3562543890,93
One Direction,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,G#,Major,17,11,2014,2010,Night Changes,86,1,120,67,52,20,60,0,2,,18,7124,0,12,4,1131090940,40
"Oscar Maydon, Junior H",https://i.scdn.co/image/ab67616d0000b2739b7e1ea3815a172019bc5e56,,Major,13,1,2023,2020,Fin de Semana,6,2,98,70,54,84,11,1,6,30,14,592,0,9,8,307370144,37
Radiohead,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,G,Major,21,9,1992,1990,Creep,1,1,92,53,34,72,146,5,6807,80,7,36724,0,12,4,1271293243,12
James Arthur,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,A,Major,18,10,2019,2015,Car's Outside,4,1,150,34,56,25,38,0,61,263,10,794,0,11,3,265882712,24
Cigarettes After Sex,https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,F,Major,21,3,2017,2015,Apocalypse,2,1,94,37,47,96,61,2,790,116,17,13091,46,11,3,841749534,17
Shubh,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,E,Minor,19,5,2023,2020,Cheques,26,1,90,74,63,10,7,0,0,57,8,67,0,27,5,47956378,36
Frank Ocean,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,A,Major,20,8,2016,2015,Pink + White,67,1,160,54,55,68,112,1,266,39,30,21574,0,42,11,806397070,54
Post Malone,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,,Major,30,8,2019,2015,Circles,24,1,120,70,75,73,391,3,633,37,16,19664,0,9,4,2132335812,59
Bruno Mars,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,F,Major,1,1,2010,2010,Just The Way You Are,1,1,109,63,85,0,82,0,2946,0,13,21106,0,9,5,1641426668,46
Hozier,https://i.scdn.co/image/ab67616d0000b2734ca68d59a4a29c856a4a39c2,E,Minor,13,9,2013,2010,Take Me To Church,63,1,129,57,66,99,187,1,4623,0,31,23804,0,12,5,2135158446,41
"Fuerza Regida, Grupo Frontera",https://i.scdn.co/image/ab67616d0000b2735f3aef5159749e4b61686670,G,Major,16,12,2022,2020,Bebe Dame,30,2,157,54,60,129,27,7,21,111,22,849,0,7,5,367316268,75
Taylor Swift,Not Found,F#,Major,9,4,2021,2020,You Belong With Me (TaylorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s Ve,5,1,130,63,73,90,47,0,1,7,12,2619,0,9,3,350381515,49
Bad Bunny,Not Found,F,Minor,6,5,2022,2020,Titi Me PreguntÃ¯Â¿,10,1,107,65,72,133,124,14,139,166,42,9037,0,13,25,1264310836,19
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,B,Minor,7,7,2023,2020,Better Than Revenge (Taylor's Version),0,1,146,50,89,33,3,0,3,1,11,86,0,19,8,30343206,67
Hotel Ugly,https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5,A,Minor,10,2,2020,2020,Shut up My Moms Calling,32,1,139,48,41,50,1,0,19,19,14,1788,0,10,10,405136812,37
Creedence Clearwater Revival,https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91,,Major,1,7,1968,1965,Have You Ever Seen The Rain?,7,1,116,74,70,37,71,0,653,167,14,15890,0,13,3,1145727611,76
Plan B,https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b,F#,Minor,20,7,2010,2010,Es un Secreto,12,1,95,84,77,3,4,0,19,0,36,492,0,7,4,540654286,52
"Feid, Mora, Saiko, Quevedo",Not Found,G#,Minor,8,6,2023,2020,POLARIS - Remix,15,4,170,62,80,46,20,8,21,99,33,773,0,37,7,57312735,55
NewJeans,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,F#,Minor,19,12,2022,2020,Ditto,3,1,134,81,64,125,28,1,11,51,22,1154,0,10,11,397582059,18
a-ha,https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53,F#,Minor,19,10,1984,1980,Take On Me,2,1,84,57,90,0,34,6,5108,0,17,44927,0,9,5,1479115056,86
"Swae Lee, Lil Wayne, Offset, Metro Boomin",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,B,Minor,2,6,2023,2020,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",21,4,146,61,48,46,13,1,20,10,4,551,0,12,6,86773632,20
"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",https://i.scdn.co/image/ab67616d0000b273445afb6341d2685b959251cc,A#,Minor,1,5,2023,2020,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)",11,5,74,53,67,18,22,1,15,0,14,577,0,10,28,133753727,24
Shakira,Not Found,B,Major,11,5,2023,2020,AcrÃ¯Â¿Â½Ã¯Â¿Â½s,84,1,144,75,48,50,37,11,79,31,29,955,0,10,12,123124076,35
"Natanael Cano, Gabito Ballesteros, Peso Pluma",https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a,B,Minor,24,11,2022,2020,AMG,15,3,136,77,73,117,12,5,9,3,19,995,0,27,10,463564958,79
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",Not Found,E,Major,15,5,2023,2020,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",53,3,100,56,55,71,6,0,1,31,6,178,0,12,4,64533040,53
Stray Kids,https://i.scdn.co/image/ab67616d0000b273e27ba26bc14a563bf3d09882,F,Minor,2,6,2023,2020,S-Class,9,1,105,89,78,101,9,0,5,73,19,290,0,7,33,65496046,67
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,F,Major,26,5,2023,2020,Hits Different,15,1,106,67,78,15,15,0,6,0,0,547,0,30,4,68616963,24
"Becky G, Peso Pluma",https://i.scdn.co/image/ab67616d0000b273c3bb167f0e78b15e5588c296,D,Major,30,3,2023,2020,Chanel,40,2,132,85,68,92,15,2,21,26,10,681,0,9,4,161460990,53
"Metro Boomin, Coi Leray",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,A,Major,2,6,2023,2020,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),21,2,120,78,30,41,18,0,5,19,5,332,0,13,5,70106975,5
"Kaliii, Kaliii",https://i.scdn.co/image/ab67616d0000b2733eecc265c134153c14794aab,C#,Major,17,3,2023,2020,Area Codes,2,2,155,82,39,34,44,1,25,171,13,1197,0,9,49,113509496,51
"Junior H, Eden MuÃ¯Â¿Â½Ã¯",Not Found,G#,Major,13,5,2023,2020,Abcdario,78,2,129,70,43,60,8,1,4,109,5,262,0,11,3,89933133,42
"Abhijay Sharma, Riar Saab",Not Found,F,Minor,29,9,2022,2020,Obsessed,62,2,135,80,74,79,10,0,2,42,6,161,0,8,9,71007139,85
"Semicenk, DoÃ¯Â¿Â½Ã¯Â¿Â½u",Not Found,A#,Minor,2,6,2023,2020,PiÃ¯Â¿Â½Ã¯Â¿Â½man DeÃ¯Â¿,28,2,98,73,62,6,5,1,4,33,3,185,0,13,13,43522589,45
JISOO,https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac,A,Minor,31,3,2023,2020,FLOWER,3,1,124,84,39,110,20,0,20,69,18,839,0,11,4,232896922,64
"Future, Lil Uzi Vert, Metro Boomin",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,A,Minor,2,6,2023,2020,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",18,3,135,77,55,17,5,0,5,0,0,259,0,22,15,37126685,28
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,D,Major,23,3,2023,2020,Eyes Closed,30,1,107,78,53,69,116,3,107,675,30,2915,0,11,6,195576623,39
"RAYE, 070 Shake",https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f,D,Major,12,10,2022,2020,Escapism.,14,2,96,54,74,84,116,18,114,348,25,5129,0,9,11,532336353,25
"Arcangel, Bad Bunny",https://i.scdn.co/image/ab67616d0000b27330326b23e30ae93d4d48165b,G#,Major,30,11,2022,2020,La Jumpa,30,2,123,71,70,77,47,10,53,8,34,3794,0,32,19,538115192,58
"Taylor Swift, Ice Spice",https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,G#,Major,26,5,2023,2020,Karma (feat. Ice Spice),6,2,90,62,62,21,23,0,31,0,0,588,0,58,6,46142772,7
"Future, Chris Brown, Metro Boomin",https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,F,Minor,2,12,2022,2020,Superhero (Heroes & Villains) [with Future & Chris Brown],14,3,117,72,59,69,41,0,38,36,16,2959,0,20,21,401036314,45
"BLESSD, Peso Pluma",Not Found,A,Minor,4,4,2023,2020,Las Morras,31,2,133,78,84,78,8,1,4,1,8,291,0,7,4,127026613,90
Feid,https://i.scdn.co/image/ab67616d0000b2737cc7b0d6a82846cd8b158f99,G#,Minor,2,12,2022,2020,CHORRITO PA LAS ANIMAS,11,1,96,74,83,65,29,5,34,3,36,2321,0,35,6,345031710,61
"Fuerza Regida, Natanael Cano",https://i.scdn.co/image/ab67616d0000b273cdbbe3160616f7c85e2eb2c8,G#,Major,1,12,2022,2020,Ch y la Pizza,40,2,149,66,60,72,10,3,8,14,10,536,0,14,13,288101651,85
"Lana Del Rey, Taylor Swift",Not Found,F#,Minor,26,5,2023,2020,Snow On The Beach (feat. More Lana Del Rey),81,2,110,66,40,0,1,0,9,0,2,359,0,11,3,60350538,32
Coi Leray,https://i.scdn.co/image/ab67616d0000b2731cf7cf4446b496525e423465,F#,Major,30,11,2022,2020,Players,3,1,105,95,52,48,118,0,143,240,6,4096,0,5,16,335074782,62
ENHYPEN,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27,C#,Major,22,5,2023,2020,Bite Me,28,1,105,80,78,96,8,0,5,56,69,349,0,11,14,76767396,69
"Lil Durk, Morgan Wallen",https://i.scdn.co/image/ab67616d0000b2736234c2c6d4bb935839ac4719,B,Major,26,5,2023,2020,Stand By Me (feat. Morgan Wallen),6,2,134,76,58,82,23,0,6,113,5,381,0,16,3,46065667,61
Feid,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,E,Minor,8,7,2022,2020,Normal,4,1,170,71,56,66,47,5,45,6,36,2461,0,27,12,459276435,59
"James Blake, Metro Boomin",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,F#,Major,2,6,2023,2020,Hummingbird (Metro Boomin & James Blake),46,2,81,59,60,20,1,0,5,1,1,277,1,25,13,39666245,26
"Israel & Rodolffo, Mari Fernandez",https://i.scdn.co/image/ab67616d0000b2736ccbcc3358d31dcba6e7c035,F#,Major,1,3,2023,2020,Seu Brilho Sumiu - Ao Vivo,31,2,154,63,92,29,7,1,51,29,5,967,0,91,5,138517666,75
Steve Lacy,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,C#,Major,29,6,2022,2020,Bad Habit,63,1,169,69,51,72,155,16,131,29,12,8186,0,38,4,822633917,69
BeyoncÃ¯Â¿,Not Found,G,Major,29,7,2022,2020,CUFF IT,4,1,115,78,69,88,215,26,330,23,10,7842,0,7,14,595900742,64
"Halsey, Suga",https://i.scdn.co/image/ab67616d0000b273f19310c007c0fad365b0542e,A,Minor,5,6,2023,2020,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),1,2,84,43,74,14,6,2,8,4,6,215,0,19,8,51985779,14
"Nicky Jam, Feid",https://i.scdn.co/image/ab67616d0000b273ea97d86f1fa8532cd8c75188,G#,Major,18,5,2023,2020,69,11,2,93,79,62,14,39,2,48,3,22,1134,0,11,23,57945987,58
"Sean Paul, Feid",Not Found,G,Major,21,4,2023,2020,NiÃ¯Â¿Â½Ã¯Â¿Â½a Bo,10,2,91,82,62,26,29,5,43,44,34,1305,0,10,15,115010040,47
Drake,https://i.scdn.co/image/ab67616d0000b273cace8a4b2ff924c9e12e3a96,A#,Minor,7,4,2023,2020,Search & Rescue,6,1,142,82,44,70,58,0,43,182,6,2066,0,33,7,175097833,54
"Kendrick Lamar, BeyoncÃ¯Â¿",Not Found,C#,Major,19,5,2023,2020,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),1,2,126,78,70,2,34,0,33,1,0,896,0,16,4,57089066,20
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,A#,Major,21,10,2022,2020,Lavender Haze,26,1,97,73,44,43,51,10,38,1,8,3763,0,16,8,488386797,10
"WizKid, Toian, Metro Boomin, Don Toliver, Beam",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,F,Major,2,6,2023,2020,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",41,5,101,92,51,10,3,0,3,0,0,197,51,26,8,32761689,59
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,G,Minor,6,5,2022,2020,Efecto,14,1,98,80,48,65,34,6,43,2,33,4004,0,6,5,1047480053,23
Simone Mendes,https://i.scdn.co/image/ab67616d0000b2735559a80512e3986640b0140d,F#,Major,27,1,2023,2020,Erro Gostoso - Ao Vivo,18,1,154,59,89,57,8,2,76,49,5,984,0,80,9,153454328,63
Tini,https://i.scdn.co/image/ab67616d0000b273f5409c637b9a7244e0c0d11d,A,Major,14,2,2023,2020,Cupido,52,1,120,91,58,29,51,4,63,54,24,1240,0,31,22,217672943,63
Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273438799bc344744c12028bb0f,B,Major,17,10,2022,2020,Just Wanna Rock,7,1,150,49,55,27,72,0,47,0,13,3995,0,6,3,457184829,4
Sia,https://i.scdn.co/image/ab67616d0000b273754b2fddebe7039fdb912837,A,Major,21,1,2016,2015,Unstoppable,11,1,174,47,78,66,119,2,1145,,13,7681,0,10,8,939844851,27
Stephen Sanchez,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,A#,Major,1,9,2021,2020,Until I Found You,69,1,202,34,51,100,69,20,154,438,4,4427,0,18,4,726434358,25
"Drake, 21 Savage",https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,B,Minor,4,11,2022,2020,Rich Flex,5,2,153,56,52,84,84,0,42,23,18,4657,0,36,24,573633020,42
Adele,https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4,F,Major,14,10,2021,2020,Easy On Me,58,1,142,60,37,87,258,22,657,9,20,10195,0,13,3,1406111294,13
"MC Caverinha, KayBlack",Not Found,A,Minor,11,5,2023,2020,CartÃ¯Â¿Â½Ã¯Â¿Â½o B,26,2,108,84,47,2,7,1,30,11,4,269,0,20,64,71573339,55
"Offset, JID",https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,B,Major,2,6,2023,2020,Danger (Spider) (Offset & JID),4,2,143,83,69,3,3,0,6,0,0,214,0,23,12,24975653,25
ZÃ¯Â¿Â½Ã¯Â¿Â½ Neto & Crist,Not Found,D,Major,14,2,2023,2020,Oi Balde - Ao Vivo,60,1,108,67,67,57,12,1,47,33,2,845,0,80,5,145458418,55
Eminem,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,F,Minor,1,1,2000,2000,The Real Slim Shady,3,1,104,95,66,53,81,1,3271,17,27,20763,0,4,6,1424589568,78
"Migrantes, LiL CaKe, Nico Valdi",Not Found,F#,Minor,16,12,2022,2020,MERCHO,43,3,93,84,79,22,41,4,56,84,20,1267,0,18,11,231332117,96
Tory Lanez,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,F#,Minor,10,12,2021,2020,The Color Violet,16,1,105,65,53,79,3,1,21,54,32,2585,0,9,5,415932686,46
Joji,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,G#,Major,10,6,2022,2020,Glimpse of Us,89,1,170,44,32,42,109,3,158,31,6,6330,0,14,5,988515741,27
"Mambo Kingz, DJ Luian, Anuel Aa",Not Found,C#,Minor,4,5,2023,2020,Mejor Que Yo,18,3,178,62,66,13,9,0,11,1,1,675,0,12,5,50847624,56
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796,F#,Minor,5,5,2023,2020,Curtains,10,1,176,50,76,3,37,0,27,50,0,715,0,32,5,39893489,44
