Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,F,Minor,13,5,2022,2020,Savior - Interlude,84,1,118,66,43,0,0,0,3,0,0,1194,0,19,19,37091576,83
"Shae Gill, Ali Sethi",https://i.scdn.co/image/ab67616d0000b2733f3d35703bdcd917dad51c4f,B,Minor,6,2,2022,2020,Pasoori,7,2,92,71,60,22,10,0,3,0,6,349,0,6,4,284249832,67
"Kendrick Lamar, Beth Gibbons",https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,G#,Minor,13,5,2022,2020,Mother I Sober (feat. Beth Gibbons of Portishead),87,2,140,49,37,0,3,0,2,0,0,1890,0,11,35,33381454,50
"Sech, Mora",Not Found,C#,Major,1,4,2022,2020,TUS LÃ¯Â¿Â½Ã¯Â¿Â½GR,18,2,174,68,71,16,23,0,9,5,2,1308,0,11,25,184622518,45
"MNEK, Jax Jones",Not Found,A#,Major,26,1,2022,2020,Where Did You Go?,19,2,127,77,78,74,135,1,119,18,0,4531,0,29,4,300983101,53
"Ugly Dray, Tesla Jnr",Not Found,B,Major,6,5,2022,2020,I Tried to Tell Y'all,62,2,96,71,52,3,15,0,3,0,0,1657,0,11,36,121077868,37
"Justin Bieber, Don Toliver",https://i.scdn.co/image/ab67616d0000b27377f7f8553ace10f4d9347872,G#,Minor,29,4,2022,2020,Honest (feat. Don Toliver),13,2,150,82,66,1,26,0,17,0,0,1351,0,11,6,106919680,82
Jessi,https://i.scdn.co/image/ab67616d0000b273c4197378ef8cb88888716bca,F#,Major,13,4,2022,2020,ZOOM,1,1,100,87,60,29,5,0,14,0,0,608,0,13,16,136996305,46
Chanel,https://i.scdn.co/image/ab67616d0000b273e72e1154ce7b6314ba087b0e,C#,Minor,24,12,2021,2020,SloMo,13,1,105,73,81,0,31,0,19,2,0,1211,0,9,6,65719930,59
LE SSERAFIM,https://i.scdn.co/image/ab67616d0000b2739030184114911536d5f77555,G,Major,2,5,2022,2020,FEARLESS,5,1,104,86,62,75,18,0,9,0,0,629,0,13,14,229497852,43
